ticker,company,marketCap,marketCapGroup,sector
AAIGF,AIA Group,124390437500,Large,financial
AVGO,Broadcom,123951987200,Large,consumergoods
CIHHF,China Merchants Bank Co,123829218000,Large,financial
SNYNF,Sanofi,122887878300,Large,healthcare
BP,BP,122221345000,Large,basicmaterials
SNY,Sanofi-Aventis Sa,121909350400,Large,healthcare
LMT,Lockheed Martin,121510545400,Large,industrialgoods
PROSF,Prosus,120076800000,Large,technology
EADSY,Airbus SE,119264049000,Large,industrialgoods
BACHF,Bank of China,119219445000,Large,financial
EADSF,Airbus Group SE,118951248000,Large,consumergoods
TXN,Texas Instruments,117874087000,Large,consumergoods
GSK,GlaxoSmithKline,116687968000,Large,healthcare
LIN,Linde,114687076000,Large,services
RY,Royal Bank Of Canada,114640388400,Large,financial
CHTR,Charter Communications,114209265000,Large,services
DHR,Danaher,113199580000,Large,healthcare
NVO,Novo Nordisk,111266030400,Large,healthcare
GE,General Electric,109868059000,Large,industrialgoods
HDB,Hdfc Bank,107623836000,Large,financial
AXP,American Express,106798500000,Large,financial
RDS.A,Royal Dutch Shell A,106628842500,Large,basicmaterials
AMT,American Tower,105176103000,Large,services
SBUX,Starbucks,103731606000,Large,services
BTI,British American Tobacco,102290404200,Large,consumergoods
RTNTF,Rio Tinto,101954634600,Large,basicmaterials
QCOM,Qualcomm,101587406900,Large,technology
TD,Toronto Dominion Bank,101571939600,Large,financial
CMWAY,Commonwealth Bank of Australia,101167187900,Large,financial
SIEGY,Siemens AG,100279562600,Large,industrialgoods
CSLLY,CSL,97001310100,Large,healthcare
DGEAF,Diageo,96263355300,Large,consumergoods
DEO,Diageo,94895844000,Large,consumergoods
CMXHF,CSL,94131041900,Large,healthcare
NTTYY,Nippon Telegraph And Telephone,93407234800,Large,technology
LOW,Lowe's,91478791200,Large,services
NPPXF,Nippon Telegraph and Telephone,91280625300,Large,services
NTDMF,NTT DoCoMo,90783798300,Large,services
DCMYY,NTT Docomo,90744625100,Large,technology
FIS,Fidelity National Info,90604332000,Large,technology
MMM,3M Company,90442089400,Large,industrialgoods
SNEJF,Sony,89942704800,Large,services
SNE,Sony,89868840000,Large,consumergoods
UPS,United Parcel,88596660000,Large,services
CVS,CVS Health,88309164800,Large,services
SBRCY,Sberbank Rossii OAO,87792784200,Large,financial
SFTBY,Softbank,87613452000,Large,technology
MS,Morgan Stanley,87436772000,Large,financial
MO,Altria Group,86433229600,Large,consumergoods
OGZPY,Gazprom PJSC,86171904000,Large,basicmaterials
SFTBF,SoftBank Group,85956460000,Large,services
GS,Goldman Sachs Group,85667808800,Large,financial
GILD,Gilead Sciences,85271110000,Large,healthcare
FISV,Fiserv,84232191600,Large,technology
ENB,Enbridge,83466873200,Large,basicmaterials
USB,US Bancorp,83173480000,Large,financial
BLK,Blackrock,83068712800,Large,financial
PCCYF,PetroChina Company,82725492000,Large,unknownsector
MDLZ,Mondelez International,82688862600,Large,consumergoods
OJSCY,Rosneft Oil Co PJSC,82136050000,Large,utilities
KYCCF,Keyence,81523025800,Large,technology
SYK,Stryker,81001440000,Large,healthcare
UN,Unilever,79949539200,Large,consumergoods
HESAY,Hermès International,79815036600,Large,consumergoods
HESAF,Hermes International,79537763500,Large,consumergoods
BKNG,Booking Holdings,78040371200,Large,services
BAYRY,Bayer,77666303400,Large,healthcare
CME,CME Group,77241776600,Large,financial
BDX,Becton Dickinson,76932347000,Large,healthcare
BHP,BHP Group,76812499500,Large,basicmaterials
DTEGY,Deutsche Telekom,76590729000,Large,technology
MPNGF,Meituan Dianping,76567482600,Large,technology
NPSNY,Naspers,76350730000,Large,services
ADP,Automatic Data Processing,75962256000,Large,technology
NAPRF,Naspers,75828628100,Large,services
INTU,Intuit,75728512400,Large,technology
BX,Blackstone Group,75576015000,Large,financial
TJX,TJX Companies,74312417600,Large,services
CAT,Caterpillar,73785369600,Large,industrialgoods
NVGI,Noble Vici Group,73781400000,Large,healthcare
CI,Cigna,73512445500,Large,services
SO,Southern Co,72928684200,Large,utilities
SPGI,S&P Global,72811648000,Large,services
CILJF,China Life Insurance Co,72357632000,Large,financial
EL,The Estée Lauder Companies,72113921900,Large,consumergoods
TFC,Truist Financial,71349757200,Large,financial
DUK,Duke Energy,70786837800,Large,utilities
IBDRY,Iberdrola,70124785800,Large,utilities
CB,Chubb,69929068600,Large,financial
TMUS,T Mobile US,69737918200,Large,technology
D,Dominion Resources,69600744100,Large,utilities
UL,Unilever,69397028800,Large,consumergoods
ANTM,Anthem,69316790700,Large,services
RIO,Rio Tinto,69241861100,Large,basicmaterials
AIQUY,Air Liquide,68912031600,Large,basicmaterials
KDDIF,KDDI,68652015000,Large,services
KDDIY,KDDI,68629165200,Large,unknownsector
RCRRF,Recruit Holdings Co,68168543100,Large,technology
CEO,CNOOC,68087437500,Large,basicmaterials
BNPQY,BNP Paribas,67947108400,Large,financial
CNI,Canadian Railway,67262210600,Large,services
BNS,Bank Of Nova Scotia,66814182200,Large,financial
SAN,Banco Santander SA,66589258000,Large,financial
MUFG,Mitsubishi UFJ,66426228000,Large,financial
NOW,ServiceNow,66392858000,Large,technology
ISRG,Intuitive Surgical,66347566200,Large,healthcare
ZTS,Zoetis,66191272000,Large,healthcare
UBER,Uber Technologies,65725244600,Large,technology
ESLOY,EssilorLuxottica SA,65636968300,Large,healthcare
LUKOY,Oil company LUKOIL PJSC,65593705300,Large,basicmaterials
SNPMF,China Petroleum & Chemical,65378340000,Large,unknownsector
PNC,PNC Financial,65235780000,Large,financial
MBFJF,Mitsubishi UFJ Financial Group,65138898000,Large,financial
SAFRY,SAFRAN SA,64632756600,Large,technology
CL,Colgate-Palmolive,64621117600,Large,consumergoods
ABEV,Ambev SA,64336518000,Large,consumergoods
AXAHY,AXA SA,63921406000,Large,financial
ADDYY,Adidas,63822205400,Large,consumergoods
BAM,Brookfield Asset Mng,63174092800,Large,financial
VMW,VMware,62962176000,Large,technology
BASFY,BASF SE,62934249600,Large,consumergoods
VALE,Vale SA,62718986700,Large,basicmaterials
CCI,Crown Castle,62552295600,Large,technology
RTN,Raytheon,62437776600,Large,industrialgoods
AGN,Allergan,62425154300,Large,healthcare
HEINY,Heineken,62275059600,Large,consumergoods
TAK,Takeda Pharmaceutical Company,62247690000,Large,healthcare
VRTX,Vertex Pharmaceuticals,62070262400,Large,healthcare
COP,Conocophillips,61984782300,Large,basicmaterials
WEBNF,Westpac Banking,61864717200,Large,financial
MU,Micron,61653285000,Large,consumergoods
ZURVY,Zurich Insurance Group AG,61193683000,Large,financial
GPN,Global Payments,60993211100,Large,technology
TKPHF,Takeda Pharmaceutical Co,60752250000,Large,healthcare
ZFSVF,Zurich Insurance Group,60670662600,Large,financial
NOC,Northrop,60652743000,Large,industrialgoods
WBK,Westpac Banking,60602907700,Large,financial
SCHW,Charles Schwab,60478026400,Large,financial
RBGLY,Reckitt Benckiser Group,60477714000,Large,consumergoods
CSX,CSX,60476829500,Large,services
EQNR,Equinor ASA,59976146200,Large,basicmaterials
PLD,Prologis,59950416600,Large,financial
BSX,Boston Scientific,59767001600,Large,healthcare
PBCRF,PT Bank Central Asia Tbk,59172000000,Large,financial
ECL,Ecolab,58643241800,Large,consumergoods
ITW,Illinois Tool Works,58505534200,Large,industrialgoods
AMAT,Applied Materials,57881427100,Large,consumergoods
MMC,Marsh & Mclennan Companies,57823920000,Large,financial
TGT,Target,57387965200,Large,services
SBGSY,Schneider Electric SE,57189836600,Large,industrialgoods
EPD,Enterprise Products Partners,57159228700,Large,basicmaterials
SHOP,Shopify,56263357600,Large,technology
AMXVF,America Movil SAB de CV,56099320000,Large,services
NSC,Norfolk Southern,55244466900,Large,services
VWAGY,Volkswagen AG,55152321000,Large,consumergoods
AMD,Advanced Micro Devices,55069003500,Large,technology
NOVKY,Novatek OAO,55050941900,Large,basicmaterials
CHGCF,Chugai Pharmaceutical Co,54752400000,Large,healthcare
FRCOF,FAST RETAILING CO,54607450000,Large,industrialgoods
APD,Air Products and Chemicals,54527327000,Large,consumergoods
BKFCF,Bank of Communications Co,54211844000,Large,financial
SHW,Sherwin-Williams Company,54182613700,Large,consumergoods
PBR,Petroleo Brasileiro SA- Petrobras,53472350700,Large,basicmaterials
AON,Aon,53064809700,Large,financial
WMMVY,Wal-Mart de Mexico,52995349000,Large,services
NILSY,MMC Norilsk Nickel PJSC,52632287000,Large,basicmaterials
WMMVF,Wal-Mart de Mexico SAB de CV,52471507000,Large,industrialgoods
LYG,Lloyds Banking,52158940000,Large,financial
WM,Waste Management,52122249300,Large,basicmaterials
LVS,Las Vegas Sands,52103630100,Large,services
DANOY,Danone SA,52094119000,Large,consumergoods
GD,General Dynamics,51993683300,Large,consumergoods
EQIX,Equinix,51836840200,Large,financial
RELX,Relx,51803210400,Large,services
DE,Deere,51763879400,Large,industrialgoods
ICE,Intercontinental Exchange,51558741500,Large,financial
ABB,ABB,51402167000,Large,industrialgoods
BIIB,Biogen,51117414200,Large,healthcare
TRP,TC Energy,50834880000,Large,basicmaterials
AEP,American Electric Power,50812842200,Large,utilities
NAUBF,National Australia Bank,50617426500,Large,financial
E,Eni SPA,50422181100,Large,basicmaterials
ANEWF,Australia and New Zealand Banking Group,50398918600,Large,financial
MCO,Moody's,50383168000,Large,services
DDAIF,Daimler,50052464400,Large,consumergoods
SHECF,Shin-Etsu Chemical Co,49995621000,Large,industrialgoods
NABZY,National Australia Bank,49602288800,Large,financial
LHX,L3Harris Technologies,49461083100,Large,consumergoods
JD,JD,49452960000,Large,services
ANZBY,Australia & New Zealand Banking Group,49406255600,Large,financial
SMFG,Sumitomo Mitsui,49369249300,Large,financial
KMB,Kimberly Clark,49151524300,Large,consumergoods
GM,General Motors,49107168600,Large,consumergoods
SMFNF,Sumitomo Mitsui Financial Group,49061262800,Large,financial
HCA,HCA Healthcare,48967127900,Large,healthcare
BMO,Bank Of Montreal,48754224600,Large,financial
SEMHF,Siemens Healthineers AG,48518394000,Large,healthcare
MAR,Marriott International,48190513800,Large,services
IBN,Icici Bank,47974901700,Large,financial
DSKYF,Daiichi Sankyo Company,47728880900,Large,healthcare
KMI,Kinder Morgan,47564370000,Large,consumergoods
PGR,Progressive,47305832000,Large,financial
INFY,Infosys,47269905000,Large,technology
EW,Edwards Lifesciences,47209819500,Large,healthcare
SLB,Schlumberger,47170596400,Large,utilities
PUK,Prudential,47047593200,Large,financial
BAMXF,Bayerische Motoren Werke Aktiengesellschaft,46985520000,Large,consumergoods
DBSDY,DBS Group,46964678600,Large,financial
BBL,BHP Billiton,46961209400,Large,basicmaterials
EXC,Exelon,46748721800,Large,utilities
DBSDF,DBS Group Holdings,46579173000,Large,financial
COF,Capital One Financial,46436220000,Large,financial
BAX,Baxter International,46394223700,Large,healthcare
WBA,Walgreens Boots Alliance,46366017100,Large,services
LRCX,Lam Research,46357134800,Large,consumergoods
MET,Metlife,46165476200,Large,financial
SU,Suncor Energy,46158212100,Large,utilities
HMC,Honda Motor Company,45872511300,Large,consumergoods
HNDAF,Honda Motor Co,45749340000,Large,services
NGG,National Grid Transco,45632108100,Large,utilities
ATVI,Activision Blizzard,45488674600,Large,technology
HUM,Humana,45389011500,Large,services
DNNGY,Orsted,45383768800,Large,utilities
UBS,UBS Group AG,45244627400,Large,financial
ISNPY,Intesa Sanpaolo,45104022600,Large,financial
DASTY,Dassault Systemes SA,44985311300,Large,technology
DOGEF,Orsted,44953094500,Large,utilities
ADSK,Autodesk,44873530000,Large,technology
SRE,Sempra Energy,44813007100,Large,utilities
WDAY,Workday,44781000000,Large,technology
EMR,Emerson Electric Company,44743268100,Large,industrialgoods
CHJHF,China Telecom,44512820000,Large,services
SUHJF,Sun Hung Kai Properties,44336034000,Large,financial
NTES,NetEase,44279345100,Large,technology
NTDOY,Nintendo Co,44237795800,Large,consumergoods
NTDOF,Nintendo Co,44081836200,Large,services
AIG,American International Group,44063068800,Large,financial
DPSGY,Deutsche Post,43861315000,Large,services
HKXCF,Hong Kong Exchanges & Clearing,43717716900,Large,financial
BMWYY,Bayerische Motoren Werke Aktiengesellschaft,43708550800,Large,consumergoods
ILMN,Illumina,43512000000,Large,healthcare
ING,ING Group,43323297600,Large,financial
HKXCY,Hong Kong Exchanges & Clearing,43291221000,Large,financial
OLCLF,Oriental Land Co,43244564000,Large,services
MURGY,Muenchener Rueckversicherungs,43193393000,Large,financial
EOG,EOG Resources,42829465700,Large,basicmaterials
BCE,BCE,42663204900,Large,technology
PHG,Koninklijke Philips,42512742600,Large,consumergoods
CHWRF,China Tower,42242160000,Large,services
OLCLY,Oriental Land Co,42208667600,Large,consumergoods
SPG,Simon Property,42130045000,Large,financial
DKILF,DAIKIN INDUSTRIES,42010610800,Large,basicmaterials
ROST,Ross Stores,41755920700,Large,services
ETN,Eaton,41716194000,Large,industrialgoods
ADI,Analog Devices,41492566800,Large,technology
ENGIY,ENGIE SA,41476080000,Large,utilities
CJPRF,Central Japan Railway Company,41456352600,Large,utilities
BK,BNY Mellon,41386383800,Large,financial
BKRKF,PT Bank Rakyat Indonesia (Persero) Tbk,40997635000,Large,financial
TRI,Thomson Reuters,40756576200,Large,services
KDP,Keurig Dr Pepper,40332669300,Large,consumergoods
MZHOF,Mizuho Financial Group,40323513000,Large,financial
ROP,Roper Technologies,40186159000,Large,industrialgoods
MSBHF,Mitsubishi,40168792500,Large,services
CHVKF,China Vanke Co,39896766000,Large,financial
SCHYF,Sands China,39875565500,Large,services
GLNCY,Glencore,39813800200,Large,basicmaterials
MSBHY,Mitsubishi,39771889600,Large,unknownsector
SNGNF,Singapore Telecommunications,39743940000,Large,services
DG,Dollar General,39715054000,Large,services
KAOCF,Kao,39434948000,Large,consumergoods
PSX,Phillips 66,39423441800,Large,basicmaterials
TKOMY,Tokio Marine Holdings,39389327200,Large,financial
XIACF,Xiaomi,39209776000,Large,technology
CAOVF,China Overseas Land & Investment,39168415000,Large,financial
REGN,Regeneron,39087376000,Large,healthcare
TKOMF,Tokio Marine Holdings,39083556800,Large,financial
SCHYY,Sands China,39077881900,Large,services
DD,DuPont de Nemours,39040528900,Large,consumergoods
PSA,Public Storage,38979842000,Large,financial
ALL,Allstate,38858522200,Large,financial
EC,Ecopetrol SA,38773142400,Large,basicmaterials
MRAAY,Murata Manufacturing Co,38694801600,Large,consumergoods
MRAAF,Murata Manufacturing Co,38579698800,Large,technology
AMX,America Movil,38522783700,Large,technology
FDX,FedEx,38517663700,Large,services
JPHLF,JAPAN POST HOLDINGS Co,38410685000,Large,financial
BCS,Barclays,38386521600,Large,financial
SYY,Sysco,38297638600,Large,services
AFL,AFLAC,38293719100,Large,financial
ECIFY,Electricite de France SA,38283765000,Large,utilities
ANCUF,Alimentation Couche Tard,38279337600,Large,consumergoods
MFC,Manulife Financial,38275610400,Large,financial
NNDNF,Nidec,38258090000,Large,basicmaterials
NJDCY,Nidec,38163851400,Large,industrialgoods
MFG,Mizuho Financial,37914396000,Large,financial
HSNGF,Hang Seng Bank,37854432000,Large,financial
PRU,Prudential Financial,37599060000,Large,financial
CRARY,Credit Agricole,37595544000,Large,financial
DAL,Delta Airlines,37465822000,Large,services
CUAEF,China Shenhua Energy Co,37392448000,Large,unknownsector
TEAM,Atlassian,37326992400,Large,technology
DELL,Dell Technologies,37238836300,Large,consumergoods
CTPCF,CITIC,37235584000,Large,services
JAPAF,Japan Tobacco,37090158000,Large,consumergoods
ITUB,Itau Unibanco,37090027500,Large,financial
MNST,Monster Beverage,37035536200,Large,consumergoods
CP,Canadian Pacific,36851554900,Large,services
BSBR,Banco Santander Brasil,36811521200,Large,financial
HTHIF,Hitachi,36717006000,Large,basicmaterials
ORAN,Orange SA,36714336800,Large,technology
HTHIY,Hitachi,36601095400,Large,technology
STZ,Constellation Brands,36517356100,Large,consumergoods
NXPI,NXP Semiconductors,36481068800,Large,technology
F,Ford Motor,36399159000,Large,consumergoods
XEL,Xcel Energy,36340088400,Large,utilities
CM,Canadian Bank of Commerce,36318568300,Large,financial
NEM,Newmont Mining,36261479000,Large,basicmaterials
CNC,Centene,36184468900,Large,services
OXY,Occidental Petroleum,36179338500,Large,basicmaterials
JPSTF,Japan Post Bank Co,36175823500,Large,financial
BIDU,Baidu,36059225800,Large,technology
HOCPF,HOYA,35935057400,Large,healthcare
HOCPY,HOYA,35813528800,Large,healthcare
FANUY,Fanuc,35790096000,Large,industrialgoods
BNKHF,BOC Hong Kong (Holdings),35736064000,Large,financial
TOELY,Tokyo Electron,35653097300,Large,technology
DOW,Dow,35629027000,Large,industrialgoods
TOELF,Tokyo Electron,35609500000,Large,technology
KHC,Kraft Heinz,35596814000,Large,consumergoods
ITOCF,Itochu,35584160700,Large,services
AMADY,"Amadeus IT Group, S.A.",35390763700,Large,technology
CHPXF,China Pacific Insurance (Group) Co,35341800000,Large,financial
MELI,Mercadolibre,35287140600,Large,technology
OVCHF,Oversea-Chinese Banking,35232720000,Large,financial
ITOCY,Itochu,35185416400,Large,unknownsector
RBS,Royal Bank of Scotland,34905131000,Large,financial
TEF,Telefonica,34785060000,Large,technology
CTSH,Cognizant,34732111400,Large,technology
HOKCF,Hong Kong & China Gas Co,34696455000,Large,utilities
SVNDY,Seven & I Holdings,34678151600,Large,services
BBVA,Banco Bilbao,34656346900,Large,financial
MPC,Marathon Petroleum,34650110000,Large,basicmaterials
ET,Energy Transfer,34577648000,Large,basicmaterials
WELL,Welltower,34469142100,Large,financial
MTRJF,MTR,34415696000,Large,utilities
SQ,Square,34395039500,Large,technology
TDG,Transdigm Group,34338726000,Large,consumergoods
AHCHF,Anhui Conch Cement Company,34233478000,Large,basicmaterials
CKHUF,CK Hutchison Holdings,34224130000,Large,industrialgoods
WFAFF,Wesfarmers,34185276000,Large,industrialgoods
EJPRF,East Japan Railway Company,34064862300,Large,utilities
CKHUY,CK Hutchison Holdings,34012036800,Large,industrialgoods
TRV,Travelers Companies,33874190000,Large,financial
CNQ,Canadian Natural,33802024100,Large,basicmaterials
VFC,VF,33527447300,Large,consumergoods
CYJBF,Cargotec,33474601500,Large,industrialgoods
VLO,Valero Energy,33361449700,Large,basicmaterials
BF.B,Brown-Forman B,33358429300,Large,consumergoods
SVNDF,Seven & I Holdings Co,33194896800,Large,industrialgoods
GZPFY,Gazprom Neft,33152442400,Large,basicmaterials
EGRNF,China Evergrande Group,33065500000,Large,financial
IR,Ingersoll-Rand,33014054000,Large,industrialgoods
BACHY,Bank of China,32947166500,Large,financial
VIVHY,Vivendi,32909859500,Large,technology
MCQEF,Macquarie Group,32897043800,Large,financial
MQBKY,Macquarie Group,32893518000,Large,financial
EJPRY,East Japan Railway,32736830200,Large,services
CTPCY,CITIC Pacific,32581136000,Large,services
CGMBF,China Minsheng Banking,32398976000,Large,financial
LULU,Lululemon Athletica,32311857000,Large,consumergoods
DNZOF,DENSO,32288874600,Large,basicmaterials
YUM,Yum! Brands,32275720000,Large,services
ZBH,Zimmer Biomet Holdings,32245080700,Large,healthcare
SSREY,Swiss Re,32184627200,Large,financial
TROW,T Rowe Price,32177712000,Large,financial
NRDBY,Nordea Bank Abp,32153491100,Large,financial
GOLD,Barrick Gold,32035595600,Large,basicmaterials
AAUKF,Anglo American,32023265000,Large,basicmaterials
HNHAF,Hon Hai Precision Industry Co,31995114300,Large,technology
DNZOY,DENSO,31986633600,Large,consumergoods
SIRI,Sirius XM Holdings,31895021200,Large,services
EXPGY,Experian,31869381000,Large,services
TEL,TE Connectivity,31853756900,Large,consumergoods
GIS,General Mills,31783133400,Large,consumergoods
BDORY,Banco do Brasil SA,31765872000,Large,financial
TSCDY,Tesco,31763585000,Large,services
INFO,IHS Markit,31746349700,Large,services
EXPGF,Experian,31698330600,Large,services
PAYX,Paychex,31638316100,Large,technology
MIELY,Mitsubishi Electric,31543695500,Large,consumergoods
NBNKF,Nordea Bank Abp,31490550000,Large,financial
CS,Credit Suisse,31441743800,Large,financial
WEC,WEC Energy Group,31429943400,Large,utilities
HPQ,HP,31316244500,Large,consumergoods
HLT,Hilton Worldwide Holdings,31303163200,Large,services
ALPMF,Astellas Pharma,31282925700,Large,healthcare
EA,Electronic Arts,31262191500,Large,consumergoods
KBCSY,KBC Group,31259745700,Large,financial
UOVEF,United Overseas Bank (Singapore),31232725800,Large,financial
ARZGY,Assicurazioni Generali,31200864800,Large,financial
UOVEY,United Overseas Bank,31158279700,Large,financial
BF.A,Brown Forman A,31146002300,Large,consumergoods
BBD,Banco Bradesco SA,31094475200,Large,financial
EQR,Equity Residential,31086562400,Large,financial
HSY,Hershey Co,30999283800,Large,consumergoods
ATLKY,Atlas Copco,30972047800,Large,industrialgoods
OKE,Oneok,30944197400,Large,basicmaterials
SCCO,Southern Copper,30931731000,Large,basicmaterials
CCL,Carnival,30891619400,Large,services
ORLY,O'Reilly Auto,30837851800,Large,services
MITSF,Mitsui & Co,30808700800,Large,services
APH,Amphenol,30787729300,Large,industrialgoods
LZAGY,Lonza Group,30767625300,Large,healthcare
ED,Consolidated Edison,30763072200,Large,utilities
TLSYY,Telstra,30758216000,Large,technology
UNCFF,UniCredit SpA,30753642600,Large,financial
MITSY,Mitsui & Co,30735713300,Large,services
GVDNY,Givaudan SA,30719118300,Large,consumergoods
RSG,Republic Services,30711323400,Large,basicmaterials
AVB,AvalonBay,30553855700,Large,financial
MSI,Motorola Solutions,30552635500,Large,consumergoods
CRH,CRH,30528693800,Large,basicmaterials
IQV,IQVIA Holdings,30471727500,Large,healthcare
HCMLY,LafargeHolcim,30441157600,Large,basicmaterials
EBAY,Ebay,30433970300,Large,services
EONGY,EON SE,30167270900,Large,utilities
TSN,Tyson Foods,30063994900,Large,consumergoods
JCI,Johnson Controls,29972571500,Large,services
CRBJF,China Resources Land,29949948000,Large,financial
RACE,Ferrari,29909861800,Large,consumergoods
PEG,Public Service Enterprise,29873234800,Large,utilities
TTRAF,Telstra,29826581000,Large,services
ALC,Alcon,29777352000,Large,healthcare
CTRYF,Country Garden Holdings Co,29754594000,Large,financial
CTAS,Cintas,29668636000,Large,services
SMECF,SMC (OR),29467872700,Large,industrialgoods
ES,Eversource Energy,29332746600,Large,utilities
LUV,Southwest Airlines,29303047700,Large,services
GXYEF,Galaxy Entertainment Group,29242530100,Large,services
PPG,PPG Industries,28973811400,Large,basicmaterials
TRAUF,Transurban Group,28874884600,Large,utilities
SBAC,SBA Communications,28619796200,Large,services
QSR,Restaurant Brands International,28602198400,Large,services
ADYYF,Adyen,28539040900,Large,technology
SCMWY,Swisscom AG,28496060200,Large,technology
KLAC,Kla-Tencor,28213567200,Large,consumergoods
WFTLF,Weatherford International,28117600000,Large,basicmaterials
FLT,Fleetcor Technologies,28110969300,Large,services
WLTW,Willis Group,28102200600,Large,financial
VLVLY,Volvo AB,28065794000,Large,industrialgoods
CAJ,Canon,28053197100,Large,consumergoods
DNHBY,DNB ASA,27939704000,Large,financial
CHT,Chunghwa Telecom Co,27864760400,Large,technology
SLF,Sun Life Financial,27830961900,Large,financial
FE,FirstEnergy,27820664900,Large,utilities
STT,State Street,27783420900,Large,financial
SHLAF,Schindler Holding AG,27699954200,Large,industrialgoods
TLKMF,PT Telekomunikasi Indonesia (Persero) Tbk,27638353800,Large,services
SPOT,Spotify Technology SA,27631828800,Large,technology
IFNNY,Infineon,27619449200,Large,consumergoods
IFNNF,Infineon Technologies AG,27554063300,Large,consumergoods
VRSK,Verisk Analytics,27551463100,Large,financial
CIIHF,CITIC Securities Co,27533871000,Large,financial
LYB,LyondellBasell,27246346900,Large,consumergoods
TRUMF,Terumo,27242924800,Large,healthcare
CHUFF,China Unicom (Hong Kong),27232309000,Large,services
ASBFY,Associated British Foods,27188786200,Large,consumergoods
TLK,PT Telekomunikasi Indonesia Tbk,27103417900,Large,technology
EIX,Edison International,27063617500,Large,utilities
